Unnamed: 0,제목,URL,신청기간,대상자,선정방법,진행기간,활동목적,참여혜택 및 기대효과,진행절차,운영방식
22,[대학일자리+] 릴레이 직무 컨설팅_임상/허가,https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=7848fe842c2db3b96bcc3408f40200e5&intlNsbjtSxnCd=,2025.04.24~2025.05.26,1학년 2학년 3학년 4학년 졸업생 대학원,선착순,2025.05.12 15:00~2025.06.09 17:00,"※ 전/현직자가 진행하는 테마별 릴레이 직무 특강 프로그램으로 직무에 대한 이해 및 취업 로드맵 설정
- 이공/생공 테마 : 반도체 및 디스플레이, 2차 전지, 자동차, 제약 및 바이오
- 인문/사회/예술 테마 : 경영지원, 기획, 미디어/콘텐츠, 특화(금융 및 공기업)
※ 진행 일자별 직무 확인 링크: https://docs.google.com/spreadsheets/u/0/d/1dF6f53w-fTLm_2j12ip_AHQOJexGcr4QnoJMIula_rc/htmlview","※ 우수참여자 혜택: 이력서용 사진 촬영, 상품권 증전, 기프티콘, 온라인 취업 강의 제공, 온라인 자소서 첨삭권 등
※ KUM 마일리지 10점(재학생에 한함)","※ QR코드 및 신청 링크 접속하여 신청 ▶교육 전 수강관련 안내 문자 발송 ▶교육수강 ▶ 현장출석체크 및 만족도 설문 참여
※ 대면으로 진행되는 강의로 경영관 302호, 법학관 102호 등 에서  진행되며 신청자에게 장소 및 수강 안내 진행 예정
※ 회차별 100명 신청 가능 하며 중복 신청 가능
  
※ 신청대상: 건국대학교 전학년 학생 및 지역청년(건국대 학생이 아니여도 가능)",위탁운영
23,"[혁신사업] [진로의 발견, KCC 1차] 4단계 진로설계특강_1단계 eDISC진단을 통해 알아보는 자기이해(5/27,14시)",https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=32000ac81b0ace9674d0e826ac73f2e0&intlNsbjtSxnCd=,2025.05.12~2025.05.26,1학년 2학년 3학년 4학년,선착순,2025.05.27 14:00~2025.05.27 16:00,eDISC 해석을 통한 자기이해,휴학생은 특강 참여가 가능하나 마일리지 적립은 불가합니다,,온라인 채팅 강의(ZOOM) / 업체 운영
24,"[혁신사업] [진로의 발견, KCC 1차] 4단계 진로설계특강_2단계 인문계열 진로탐색을 위한 직무 제대로 알기(5/28,14시)",https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=b8cad075721a4191fc50e3a1ad3e1988&intlNsbjtSxnCd=,2025.05.12~2025.05.27,1학년 2학년 3학년 4학년,선착순,2025.05.28 14:00~2025.05.28 16:00,인문계열 진로탐색을 위한 직무 제대로 알기,휴학생은 특강 참여가 가능하나 마일리지 적립은 불가합니다,,온라인 채팅 강의(ZOOM) / 업체 운영
25,[대학일자리+] 릴레이 직무 컨설팅_제약 바이오 R&D,https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=0807c469fabb1de2ff70f6347d4629c7&intlNsbjtSxnCd=,2025.04.24~2025.05.27,1학년 2학년 3학년 4학년 졸업생 대학원,선착순,2025.05.12 15:00~2025.06.09 17:00,"※ 전/현직자가 진행하는 테마별 릴레이 직무 특강 프로그램으로 직무에 대한 이해 및 취업 로드맵 설정
- 이공/생공 테마 : 반도체 및 디스플레이, 2차 전지, 자동차, 제약 및 바이오
- 인문/사회/예술 테마 : 경영지원, 기획, 미디어/콘텐츠, 특화(금융 및 공기업)
※ 진행 일자별 직무 확인 링크: https://docs.google.com/spreadsheets/u/0/d/1dF6f53w-fTLm_2j12ip_AHQOJexGcr4QnoJMIula_rc/htmlview","※ 우수참여자 혜택: 이력서용 사진 촬영, 상품권 증전, 기프티콘, 온라인 취업 강의 제공, 온라인 자소서 첨삭권 등
※ KUM 마일리지 10점(재학생에 한함)","※ QR코드 및 신청 링크 접속하여 신청 ▶교육 전 수강관련 안내 문자 발송 ▶교육수강 ▶ 현장출석체크 및 만족도 설문 참여
※ 대면으로 진행되는 강의로 경영관 302호, 법학관 102호 등 에서  진행되며 신청자에게 장소 및 수강 안내 진행 예정
※ 회차별 100명 신청 가능 하며 중복 신청 가능
  
※ 신청대상: 건국대학교 전학년 학생 및 지역청년(건국대 학생이 아니여도 가능)",위탁운영
26,[대학일자리+] 릴레이 직무 컨설팅_전략 마케팅,https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=f38582941eea395444b6480083e9fcbb&intlNsbjtSxnCd=,2025.04.24~2025.05.27,1학년 2학년 3학년 4학년 졸업생 대학원,선착순,2025.05.12 15:00~2025.06.09 17:00,"※ 전/현직자가 진행하는 테마별 릴레이 직무 특강 프로그램으로 직무에 대한 이해 및 취업 로드맵 설정
- 이공/생공 테마 : 반도체 및 디스플레이, 2차 전지, 자동차, 제약 및 바이오
- 인문/사회/예술 테마 : 경영지원, 기획, 미디어/콘텐츠, 특화(금융 및 공기업)
※ 진행 일자별 직무 확인 링크: https://docs.google.com/spreadsheets/u/0/d/1dF6f53w-fTLm_2j12ip_AHQOJexGcr4QnoJMIula_rc/htmlview","※ 우수참여자 혜택: 이력서용 사진 촬영, 상품권 증전, 기프티콘, 온라인 취업 강의 제공, 온라인 자소서 첨삭권 등
※ KUM 마일리지 10점(재학생에 한함)","※ QR코드 및 신청 링크 접속하여 신청 ▶교육 전 수강관련 안내 문자 발송 ▶교육수강 ▶ 현장출석체크 및 만족도 설문 참여
※ 대면으로 진행되는 강의로 경영관 302호, 법학관 102호 등 에서  진행되며 신청자에게 장소 및 수강 안내 진행 예정
※ 회차별 100명 신청 가능 하며 중복 신청 가능
  
※ 신청대상: 건국대학교 전학년 학생 및 지역청년(건국대 학생이 아니여도 가능)",위탁운영
27,[대학일자리+] 릴레이 직무 컨설팅_기획 PM,https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=e3a87ef4e741757dc6c8a9510dffcdaa&intlNsbjtSxnCd=,2025.04.24~2025.05.27,1학년 2학년 3학년 4학년 졸업생 대학원,선착순,2025.05.12 15:00~2025.06.09 17:00,"※ 전/현직자가 진행하는 테마별 릴레이 직무 특강 프로그램으로 직무에 대한 이해 및 취업 로드맵 설정
- 이공/생공 테마 : 반도체 및 디스플레이, 2차 전지, 자동차, 제약 및 바이오
- 인문/사회/예술 테마 : 경영지원, 기획, 미디어/콘텐츠, 특화(금융 및 공기업)
※ 진행 일자별 직무 확인 링크: https://docs.google.com/spreadsheets/u/0/d/1dF6f53w-fTLm_2j12ip_AHQOJexGcr4QnoJMIula_rc/htmlview","※ 우수참여자 혜택: 이력서용 사진 촬영, 상품권 증전, 기프티콘, 온라인 취업 강의 제공, 온라인 자소서 첨삭권 등
※ KUM 마일리지 10점(재학생에 한함)","※ QR코드 및 신청 링크 접속하여 신청 ▶교육 전 수강관련 안내 문자 발송 ▶교육수강 ▶ 현장출석체크 및 만족도 설문 참여
※ 대면으로 진행되는 강의로 경영관 302호, 법학관 102호 등 에서  진행되며 신청자에게 장소 및 수강 안내 진행 예정
※ 회차별 100명 신청 가능 하며 중복 신청 가능
  
※ 신청대상: 건국대학교 전학년 학생 및 지역청년(건국대 학생이 아니여도 가능)",위탁운영
28,"[혁신사업] [진로의 발견, KCC 1차] 4단계 진로설계특강_3단계 이공계열 진로탐색을 위한 직무 제대로 알기(5/29,14시)",https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=e96fcc06db445c554a9cd71ff19819ad&intlNsbjtSxnCd=,2025.05.12~2025.05.28,1학년 2학년 3학년 4학년,선착순,2025.05.29 14:00~2025.05.29 16:00,이공계열 진로탐색을 위한 직무 제대로 알기,휴학생은 특강 참여가 가능하나 마일리지 적립은 불가합니다,,온라인 채팅 강의(ZOOM) / 업체 운영
29,[대학일자리+] 릴레이 직무 컨설팅_경영지원/해외영업,https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=e109bfe4a1b57ed9c0912b28e6e0c619&intlNsbjtSxnCd=,2025.04.24~2025.05.28,1학년 2학년 3학년 4학년 졸업생 대학원,선착순,2025.05.12 15:00~2025.06.09 17:00,"※ 전/현직자가 진행하는 테마별 릴레이 직무 특강 프로그램으로 직무에 대한 이해 및 취업 로드맵 설정
- 이공/생공 테마 : 반도체 및 디스플레이, 2차 전지, 자동차, 제약 및 바이오
- 인문/사회/예술 테마 : 경영지원, 기획, 미디어/콘텐츠, 특화(금융 및 공기업)
※ 진행 일자별 직무 확인 링크: https://docs.google.com/spreadsheets/u/0/d/1dF6f53w-fTLm_2j12ip_AHQOJexGcr4QnoJMIula_rc/htmlview","※ 우수참여자 혜택: 이력서용 사진 촬영, 상품권 증전, 기프티콘, 온라인 취업 강의 제공, 온라인 자소서 첨삭권 등
※ KUM 마일리지 10점(재학생에 한함)","※ QR코드 및 신청 링크 접속하여 신청 ▶교육 전 수강관련 안내 문자 발송 ▶교육수강 ▶ 현장출석체크 및 만족도 설문 참여
※ 대면으로 진행되는 강의로 경영관 302호, 법학관 102호 등 에서  진행되며 신청자에게 장소 및 수강 안내 진행 예정
※ 회차별 100명 신청 가능 하며 중복 신청 가능
  
※ 신청대상: 건국대학교 전학년 학생 및 지역청년(건국대 학생이 아니여도 가능)",위탁운영
30,"[혁신사업] [진로의 발견, KCC 1차] 4단계 진로설계특강_4단계 대학생활 업그레이드_경력관리의 모든것(5/30,14시)",https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=3d72e6b14229020738c28cea585559ff&intlNsbjtSxnCd=,2025.05.12~2025.05.29,1학년 2학년 3학년 4학년,선착순,2025.05.30 14:00~2025.05.30 16:00,대학생활 업그레이드_경력 관리의 모든 것,휴학생은 특강 참여가 가능하나 마일리지 적립은 불가합니다,,온라인 채팅 강의(ZOOM) / 업체 운영
31,[대학일자리+] 릴레이 직무 컨설팅_SW/IT 데이터,https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=d2720d81a099299394a77b92b73d0427&intlNsbjtSxnCd=,2025.04.24~2025.05.29,1학년 2학년 3학년 4학년 졸업생 대학원,선착순,2025.05.12 15:00~2025.06.09 17:00,"※ 전/현직자가 진행하는 테마별 릴레이 직무 특강 프로그램으로 직무에 대한 이해 및 취업 로드맵 설정
- 이공/생공 테마 : 반도체 및 디스플레이, 2차 전지, 자동차, 제약 및 바이오
- 인문/사회/예술 테마 : 경영지원, 기획, 미디어/콘텐츠, 특화(금융 및 공기업)
※ 진행 일자별 직무 확인 링크: https://docs.google.com/spreadsheets/u/0/d/1dF6f53w-fTLm_2j12ip_AHQOJexGcr4QnoJMIula_rc/htmlview","※ 우수참여자 혜택: 이력서용 사진 촬영, 상품권 증전, 기프티콘, 온라인 취업 강의 제공, 온라인 자소서 첨삭권 등
※ KUM 마일리지 10점(재학생에 한함)","※ QR코드 및 신청 링크 접속하여 신청 ▶교육 전 수강관련 안내 문자 발송 ▶교육수강 ▶ 현장출석체크 및 만족도 설문 참여
※ 대면으로 진행되는 강의로 경영관 302호, 법학관 102호 등 에서  진행되며 신청자에게 장소 및 수강 안내 진행 예정
※ 회차별 100명 신청 가능 하며 중복 신청 가능
  
※ 신청대상: 건국대학교 전학년 학생 및 지역청년(건국대 학생이 아니여도 가능)",위탁운영
32,[대학일자리+] 릴레이 직무 컨설팅_반도체 공정기술/설계,https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=fbe059501198f1359c44299009f5d033&intlNsbjtSxnCd=,2025.04.24~2025.05.30,1학년 2학년 3학년 4학년 졸업생 대학원,선착순,2025.05.12 15:00~2025.06.09 17:00,"※ 전/현직자가 진행하는 테마별 릴레이 직무 특강 프로그램으로 직무에 대한 이해 및 취업 로드맵 설정
- 이공/생공 테마 : 반도체 및 디스플레이, 2차 전지, 자동차, 제약 및 바이오
- 인문/사회/예술 테마 : 경영지원, 기획, 미디어/콘텐츠, 특화(금융 및 공기업)
※ 진행 일자별 직무 확인 링크: https://docs.google.com/spreadsheets/u/0/d/1dF6f53w-fTLm_2j12ip_AHQOJexGcr4QnoJMIula_rc/htmlview","※ 우수참여자 혜택: 이력서용 사진 촬영, 상품권 증전, 기프티콘, 온라인 취업 강의 제공, 온라인 자소서 첨삭권 등
※ KUM 마일리지 10점(재학생에 한함)","※ QR코드 및 신청 링크 접속하여 신청 ▶교육 전 수강관련 안내 문자 발송 ▶교육수강 ▶ 현장출석체크 및 만족도 설문 참여
※ 대면으로 진행되는 강의로 경영관 302호, 법학관 102호 등 에서  진행되며 신청자에게 장소 및 수강 안내 진행 예정
※ 회차별 100명 신청 가능 하며 중복 신청 가능
  
※ 신청대상: 건국대학교 전학년 학생 및 지역청년(건국대 학생이 아니여도 가능)",위탁운영
33,[대학일자리+] 릴레이 직무 컨설팅_반도체 양산 기술,https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=818f300e99c0f77eb4627d8ebb131b21&intlNsbjtSxnCd=,2025.04.24~2025.06.02,1학년 2학년 3학년 4학년 졸업생 대학원,선착순,2025.05.12 15:00~2025.06.09 17:00,"※ 전/현직자가 진행하는 테마별 릴레이 직무 특강 프로그램으로 직무에 대한 이해 및 취업 로드맵 설정
- 이공/생공 테마 : 반도체 및 디스플레이, 2차 전지, 자동차, 제약 및 바이오
- 인문/사회/예술 테마 : 경영지원, 기획, 미디어/콘텐츠, 특화(금융 및 공기업)
※ 진행 일자별 직무 확인 링크: https://docs.google.com/spreadsheets/u/0/d/1dF6f53w-fTLm_2j12ip_AHQOJexGcr4QnoJMIula_rc/htmlview","※ 우수참여자 혜택: 이력서용 사진 촬영, 상품권 증전, 기프티콘, 온라인 취업 강의 제공, 온라인 자소서 첨삭권 등
※ KUM 마일리지 10점(재학생에 한함)","※ QR코드 및 신청 링크 접속하여 신청 ▶교육 전 수강관련 안내 문자 발송 ▶교육수강 ▶ 현장출석체크 및 만족도 설문 참여
※ 대면으로 진행되는 강의로 경영관 302호, 법학관 102호 등 에서  진행되며 신청자에게 장소 및 수강 안내 진행 예정
※ 회차별 100명 신청 가능 하며 중복 신청 가능
  
※ 신청대상: 건국대학교 전학년 학생 및 지역청년(건국대 학생이 아니여도 가능)",위탁운영
34,[대학일자리+] 릴레이 직무 컨설팅_반도체 회로 설계,https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=fefb004e98c7381a6fa51c3420fc8ba8&intlNsbjtSxnCd=,2025.04.24~2025.06.04,1학년 2학년 3학년 4학년 졸업생 대학원,선착순,2025.05.12 15:00~2025.06.09 17:00,"※ 전/현직자가 진행하는 테마별 릴레이 직무 특강 프로그램으로 직무에 대한 이해 및 취업 로드맵 설정
- 이공/생공 테마 : 반도체 및 디스플레이, 2차 전지, 자동차, 제약 및 바이오
- 인문/사회/예술 테마 : 경영지원, 기획, 미디어/콘텐츠, 특화(금융 및 공기업)
※ 진행 일자별 직무 확인 링크: https://docs.google.com/spreadsheets/u/0/d/1dF6f53w-fTLm_2j12ip_AHQOJexGcr4QnoJMIula_rc/htmlview","※ 우수참여자 혜택: 이력서용 사진 촬영, 상품권 증전, 기프티콘, 온라인 취업 강의 제공, 온라인 자소서 첨삭권 등
※ KUM 마일리지 10점(재학생에 한함)","※ QR코드 및 신청 링크 접속하여 신청 ▶교육 전 수강관련 안내 문자 발송 ▶교육수강 ▶ 현장출석체크 및 만족도 설문 참여
※ 대면으로 진행되는 강의로 경영관 302호, 법학관 102호 등 에서  진행되며 신청자에게 장소 및 수강 안내 진행 예정
※ 회차별 100명 신청 가능 하며 중복 신청 가능
  
※ 신청대상: 건국대학교 전학년 학생 및 지역청년(건국대 학생이 아니여도 가능)",위탁운영
35,[대학일자리+] 릴레이 직무 컨설팅_반도체 설비기술,https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=2915ee3999b3e742c21d38eaf5b089af&intlNsbjtSxnCd=,2025.04.24~2025.06.05,1학년 2학년 3학년 4학년 졸업생 대학원,선착순,2025.05.12 15:00~2025.06.09 17:00,"※ 전/현직자가 진행하는 테마별 릴레이 직무 특강 프로그램으로 직무에 대한 이해 및 취업 로드맵 설정
- 이공/생공 테마 : 반도체 및 디스플레이, 2차 전지, 자동차, 제약 및 바이오
- 인문/사회/예술 테마 : 경영지원, 기획, 미디어/콘텐츠, 특화(금융 및 공기업)
※ 진행 일자별 직무 확인 링크: https://docs.google.com/spreadsheets/u/0/d/1dF6f53w-fTLm_2j12ip_AHQOJexGcr4QnoJMIula_rc/htmlview","※ 우수참여자 혜택: 이력서용 사진 촬영, 상품권 증전, 기프티콘, 온라인 취업 강의 제공, 온라인 자소서 첨삭권 등
※ KUM 마일리지 10점(재학생에 한함)","※ QR코드 및 신청 링크 접속하여 신청 ▶교육 전 수강관련 안내 문자 발송 ▶교육수강 ▶ 현장출석체크 및 만족도 설문 참여
※ 대면으로 진행되는 강의로 경영관 302호, 법학관 102호 등 에서  진행되며 신청자에게 장소 및 수강 안내 진행 예정
※ 회차별 100명 신청 가능 하며 중복 신청 가능
  
※ 신청대상: 건국대학교 전학년 학생 및 지역청년(건국대 학생이 아니여도 가능)",위탁운영
36,"[대학일자리+] 재직자, 메일 컨설팅_3~6월",https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=0abe09a7c863f794efff6986150f8ed6&intlNsbjtSxnCd=,2025.03.07~2025.06.13,4학년 졸업생,선착순,2025.03.17 00:00~2025.06.20 17:30,근무로 인해 정규 상담 참여가 어려운 건국대 졸업생의 취업 스킬 향상,"- 근무 중인 졸업생의 커리어 개발에 필요한 취업 정보 제공 및 취업 스킬 향상
- 희망 산업 분야 이·전직을 원활하게 준비
- 기업 및 직무에 맞춘 서류 작성 스킬 향상
- 자기소개서 항목 별 효과적 글쓰기 방법 안내 및 피드백","1) 위인전 신청 
2) 고용24 신청 (고용24->취업지원->취업역량강화->우리학교 취업지원실->건국대학교->상담예약)
3) 신청 후 컨설턴트 배정 및 유선 연락으로 개별 일정 조정(신청 후 2-3일 소요)
4) 컨설턴트 메일 주소 안내 및 첨삭 희망 파일 송부",취업지원관 진행
37,[대학일자리+] 졸업생 특화 프로그램 인재풀 등록,https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=ad0ab5b21d5f6f026159d896a68537b2&intlNsbjtSxnCd=,2025.04.28~2025.12.31,4학년 졸업생,선착순,2025.04.28 00:00~2025.12.31 00:00,"구직 중인 졸업자(졸업 유예·예정자 포함)를 대상으로 양질의 취업 정보 및 맞춤형 청년 고용 서비스 제공을 통해 
원활한 사회 진출을 지원하는 고용노동부 주관 사업입니다.","▶ 인재풀 등록 시 주요 혜택  
- 졸업생 특화 프로그램·추천채용 등 우선선발!
- 선발형 프로그램(GMP, 반도체) 및 기타 대플 프로그램 우선선발!","▶ 등록방법 (택1)
① 현장등록: 대학일자리플러스센터 방문하여 취업 상담 시 서류작성
② 온라인등록: 위인전에서 서식 다운로드 후 작성하여 등록 (*자필서명 필수)",-
38,[대학일자리+] 신입생을 위한 진로 탐색 워크숍 KU 진로탐험대 (5월 5주차 모집),https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=ec0ebd1f5624608f771ee26a3a1ddcef&intlNsbjtSxnCd=,2025.05.16~2025.05.28,1학년,선착순,2025.05.27 11:00~2025.05.30 11:50,신입생을 위한 진로 탐색 워크숍 KU 진로탐험대,2025학년도 CSP 진로탐색 교과목을 신청한 신입생들을 대상으로 비교과 프로그램을 추천하고 인문/이공 계열별로 진로 설정을 지원하는 집단 워크숍,"1) 위인전 프로그램 신청
2) 고용24 신청 (고용24>취업지원>취업역량강화>우리학교 취업지원실>건국대학교 상담 예약(상담희망내용:KU진로탐험대))
3) 참여신청 완료 후 참여(대상)자에게 문자 개별 안내",대학일자리플러스사업단 컨설턴트 운영
39,[대학일자리+] 2025학년도 하계 현장실습 지원대비 자기소개서 컨설팅(5월 23일),https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=1fc4f21359677bc573abc9383483192a&intlNsbjtSxnCd=,2025.05.16~2025.05.21,3학년 4학년,선착순,2025.05.23 10:00~2025.05.23 14:50,2025학년도 하계 현장실습 지원을 희망하는 건국대생을 대상으로 자소서 작성 시 애로사항을 해소한다.,"- 해당 산업분야 취업을 원활하게 준비할 수 있도록 한다
- 기업 및 직무에 맞춘 서류 작성 방법 향상 한다
- 자기소개서 항목별 효과적 글쓰기 방법 및 피드백","1) 위인전 신청 
2) 고용24 신청 (취업지원->취업역량강화->우리학교 취업지원실->건국대학교->상담예약)
3) 신청 후 회차 확정 및 장소 안내(학생회관 1층 커리어라운지 B룸)",취업지원관 진행
40,[대학일자리+] 2025학년도 하계 현장실습 지원대비 자기소개서 컨설팅(5월 22일),https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=2a3125cc65102658daa5bca03946ed2c&intlNsbjtSxnCd=,2025.05.16~2025.05.21,3학년 4학년,선착순,2025.05.22 10:00~2025.05.22 11:50,2025학년도 하계 현장실습 지원을 희망하는 건국대생을 대상으로 자소서 작성 시 애로사항을 해소한다.,"- 해당 산업분야 취업을 원활하게 준비할 수 있도록 한다
- 기업 및 직무에 맞춘 서류 작성 방법 향상 한다
- 자기소개서 항목별 효과적 글쓰기 방법 및 피드백","1) 위인전 신청 
2) 고용24 신청 (취업지원->취업역량강화->우리학교 취업지원실->건국대학교->상담예약)
3) 신청 후 회차 확정 및 장소 안내(학생회관 1층 커리어라운지 B룸)",취업지원관 진행
41,[대학일자리+] 신입생을 위한 진로 탐색 워크숍 KU 진로탐험대 (6월 1주차 모집),https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=74c4cca9c9ebf2004f6aa53d527ebbd2&intlNsbjtSxnCd=,2025.05.26~2025.06.03,1학년,선착순,2025.06.04 11:00~2025.06.05 11:50,신입생을 위한 진로 탐색 워크숍 KU 진로탐험대,2025학년도 CSP 진로탐색 교과목을 신청한 신입생들을 대상으로 비교과 프로그램을 추천하고 인문/이공 계열별로 진로 설정을 지원하는 집단 워크숍,"1) 위인전 프로그램 신청
2) 고용24 신청 (고용24>취업지원>취업역량강화>우리학교 취업지원실>건국대학교 상담 예약(상담희망내용:KU진로탐험대))
3) 참여신청 완료 후 참여(대상)자에게 문자 개별 안내",대학일자리플러스사업단 컨설턴트 운영
42,[대학일자리+] 신입생을 위한 진로 탐색 워크숍 KU 진로탐험대 (6월 2주차 모집),https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=feda87478bee079e74d3ab62496aa5ae&intlNsbjtSxnCd=,2025.05.30~2025.06.11,1학년,선착순,2025.06.10 11:00~2025.06.13 11:50,신입생을 위한 진로 탐색 워크숍 KU 진로탐험대,2025학년도 CSP 진로탐색 교과목을 신청한 신입생들을 대상으로 비교과 프로그램을 추천하고 인문/이공 계열별로 진로 설정을 지원하는 집단 워크숍,"1) 위인전 프로그램 신청
2) 고용24 신청 (고용24>취업지원>취업역량강화>우리학교 취업지원실>건국대학교 상담 예약(상담희망내용:KU진로탐험대))
3) 참여신청 완료 후 참여(대상)자에게 문자 개별 안내",대학일자리플러스사업단 컨설턴트 운영
43,[대학일자리+] 신입생을 위한 진로 탐색 워크숍 KU 진로탐험대 (6월 3주차 모집),https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=d4d8d6bc83739ecbcb89a2000bf54969&intlNsbjtSxnCd=,2025.06.06~2025.06.18,1학년,선착순,2025.06.17 11:00~2025.06.20 11:50,신입생을 위한 진로 탐색 워크숍 KU 진로탐험대,2025학년도 CSP 진로탐색 교과목을 신청한 신입생들을 대상으로 비교과 프로그램을 추천하고 인문/이공 계열별로 진로 설정을 지원하는 집단 워크숍,"1) 위인전 프로그램 신청
2) 고용24 신청 (고용24>취업지원>취업역량강화>우리학교 취업지원실>건국대학교 상담 예약(상담희망내용:KU진로탐험대))
3) 참여신청 완료 후 참여(대상)자에게 문자 개별 안내",대학일자리플러스사업단 컨설턴트 운영
44,[대학일자리+] 릴레이 직무 컨설팅_자소서&면접 통합 솔루션 취업 특강,https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=08b895dc2ec4dea727968ce18dbda93e&intlNsbjtSxnCd=,2025.04.24~2025.05.09,1학년 2학년 3학년 4학년 졸업생 대학원,선착순,2025.05.12 15:00~2025.06.09 17:00,"※ 전/현직자가 진행하는 테마별 릴레이 직무 특강 프로그램으로 직무에 대한 이해 및 취업 로드맵 설정
- 이공/생공 테마 : 반도체 및 디스플레이, 2차 전지, 자동차, 제약 및 바이오
- 인문/사회/예술 테마 : 경영지원, 기획, 미디어/콘텐츠, 특화(금융 및 공기업)
※ 진행 일자별 직무 확인 링크: https://docs.google.com/spreadsheets/u/0/d/1dF6f53w-fTLm_2j12ip_AHQOJexGcr4QnoJMIula_rc/htmlview","※ 우수참여자 혜택: 이력서용 사진 촬영, 상품권 증전, 기프티콘, 온라인 취업 강의 제공, 온라인 자소서 첨삭권 등
※ KUM 마일리지 10점(재학생에 한함)","※ QR코드 및 신청 링크 접속하여 신청 ▶교육 전 수강관련 안내 문자 발송 ▶교육수강 ▶ 현장출석체크 및 만족도 설문 참여
※ 대면으로 진행되는 강의로 경영관 302호, 법학관 102호 등 에서  진행되며 신청자에게 장소 및 수강 안내 진행 예정
※ 회차별 100명 신청 가능 하며 중복 신청 가능
  
※ 신청대상: 건국대학교 전학년 학생 및 지역청년(건국대 학생이 아니여도 가능)",위탁운영
45,[대학일자리+] (졸업생특화) 2025학년 1학기 현직자 동문선배 멘토링 '멘토래담' 사전 워크숍 (특강) *QR신청,https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=2e671a74e68de0f188199373a7916ade&intlNsbjtSxnCd=,2025.04.25~2025.05.09,1학년 2학년 3학년 4학년 졸업생 대학원,선착순,2025.01.20 14:00~2025.01.24 17:00,"직무 및 기업 이해도 제고
진로 조기 설정
취업률 제고","현직자 동문선배를 만나러 가기 전! 
주요 산업분야 트렌드 분석, 산업 동향, 기업/직무 분석, 자소서, 면접 준비 팁을 확인함으로써 취업 역량 강화","** 신청대상: 건국대학교 졸업생 및 재학생, 대학원생, 지역청년
** 아래 게시물의 이미지, QR코드 또는 https://forms.gle/ByLzyNgED7QkERs28 에 접속 후 구글폼 작성 제출",인크루트 위탁운영
